LABA PER SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
-56.91,0.760423883,1.315056014,-4.174038759,-0.053794953,0.170747267,-105.7576084
95,1.406488214,0.710990671,2.460095925,0.014819548,0.051277059,0.051332782
39.1,1.582399385,0.631951712,1.71703478,0.019277753,0.052378325,0.069639534
-51,1.420056925,0.704197122,2.380629718,-0.056785006,-0.191969078,-0.058254509
204.71,1.597385748,0.626022864,1.673960257,0.038511525,0.102978286,0.058583211
5782,1.387206792,0.720873056,2.582599324,0.051508238,0.184533379,0.245856076
2.34,27.12101413,0.036871778,0.038283353,0.014835142,0.015403081,0.105018848
12.69,3.131374942,0.319348535,0.469180706,0.034186269,0.050225807,0.026574509
615.201,1.526652206,0.655028038,1.898786311,0.049679841,0.144011244,0.023540655
-8.75,1.680960109,0.594898115,1.468514802,-0.088839256,-0.219301019,-0.974690652
3.6,3.681606642,0.271620544,0.372910771,0.01124258,0.015435059,0.243708972
-13.55,1.734289755,0.576604917,1.36186021,-0.092981877,-0.219610195,-0.147828458
-2.32,6.397132468,0.156320039,0.185283575,-0.024057337,-0.028514767,-0.031310778
24.3219,2.607632485,0.383489624,0.622032715,0.055622027,0.090220748,0.031461071
-1.21,1.433493802,0.697596319,2.306838056,-0.010585164,-0.035003423,-0.057801734
6.49,108.4842009,0.009217932,0.009303693,0.05621974,0.056742791,0.708389824
-0.005,4.538693041,0.220327744,0.282590207,-0.003662329,-0.004697267,-0.27588541
-2.44,2.031302044,0.492295079,0.969648035,-0.012714167,-0.025042435,-0.018514733
100.149,1.668999632,0.599161307,1.494769134,0.023539022,0.058724426,0.024797991
4.9,1.570425465,0.636770113,1.753077417,0.007779,0.021416188,0.010282732
477.9839606,1.871131514,0.534435978,1.147932297,0.278040185,0.597211494,0.188970141
2149,3.260786279,0.306674499,0.442323987,0.049663717,0.07163117,0.044906458
47.2131,3.182689431,0.31419968,0.458150384,0.037712017,0.054989791,0.080018793
120,3.802487545,0.26298574,0.35682585,0.067407239,0.091459884,0.529522685
-918.7443057,0.723231316,1.38268349,-3.613125535,-0.176893101,0.462243879,-1.774820681
5.55,1.571031103,0.636524635,1.751218094,0.000805363,0.002215728,0.001386064
1.76,0.016324924,61.25602909,-1.01659585,0.148704465,-0.002467877,0.062055988
15.47,1.718368462,0.581947366,1.392043294,0.045528931,0.108907173,0.020751482
-19.73448923,0.662450428,1.509546916,-2.962527825,-0.079227261,0.155485704,-0.235508926
-119.33,2.090749888,0.478297287,0.916800461,-0.011035555,-0.021152957,-0.110399178
9.58,10.71065273,0.093364991,0.102979689,0.034472202,0.038022139,0.371197022
8.56,1.790689392,0.558444141,1.26471913,0.056838766,0.12872384,0.058169328
10.42,2.651450309,0.37715208,0.605528361,0.02856802,0.045866767,0.178973796
-9.058404375,4.252947955,0.235131022,0.307413464,0.085643663,0.111971678,0.661392313
-1.96,1.476629453,0.67721797,2.098065895,-0.002801255,-0.008678471,-0.016092936
-2.8614,2.118172613,0.472105056,0.894316305,-0.012139048,-0.022995197,-0.084289097
6.275365985,13.43634513,0.074425001,0.080409476,0.006272884,0.006777283,1.220608988
-6,2.05551912,0.48649511,0.947401123,-0.019831184,-0.038619271,-0.082901972
-0.13,8.316078447,0.120248986,0.136685248,-0.020569566,-0.023381123,-0.109581772
28872,4.767119163,0.209770296,0.265454836,0.053578594,0.067801291,0.097559204
4.04,2.136123003,0.468137836,0.880186386,0.02468184,0.046406459,0.233828583
-5.88,8.690718522,0.115065285,0.130026863,-0.018673534,-0.021101595,-0.004155717
-9,0.971618185,1.029210873,-35.23382783,-0.087236344,2.986433972,-3.521426209
51.34,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197
3.3,1.866387034,0.535794549,1.154218566,0.009039444,0.019472939,0.052143484
179,1.317141539,0.759219849,3.153166262,-0.165108138,-0.685721547,-0.168045705
0.05,2.093773641,0.477606548,0.914265953,0.142380998,0.272555097,0.12596394
-1.5737711,1.508885956,0.662740611,1.965076827,0.001219605,0.003616224,0.004361054
-3.76,1.981705486,0.504615851,1.01863544,-0.013760222,-0.027776872,-0.038801925
48,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322
1.192500247,3.055321446,0.327297804,0.486541899,0.011569342,0.017198311,0.018122792
5.97,1.876676057,0.532857014,1.140672193,0.018431702,0.039456232,0.123743549
-7.74,1.297113736,0.770942418,3.365714474,-0.02054076,-0.089675094,-0.741066088
-3.596232,3.489426447,0.286580048,0.401698954,-0.023044525,-0.032301486,-0.511138246
33.2,1.795469184,0.556957484,1.257119723,0.04604541,0.103930002,0.03919447
206.0208,1,1,1.309469714,0.075076851,0.098310862,0.253049881
-5.722804,1.303818918,0.766977673,3.291434276,-0.091584478,-0.393028766,-0.645968933
-50.34,0.662983457,1.508333261,-2.967213393,-0.097383829,0.191574773,-7.513689625
46,3.158622137,0.316593741,0.463258475,0.006809862,0.009964588,0.084575901
426,1.970388999,0.507513999,1.030514568,0.056676585,0.115082631,0.142690874
3.83,2.822655863,0.354276273,0.548649923,0.022110671,0.034241688,0.07654858
-55,1.756346948,0.569363588,1.322144557,0.076553011,0.177767158,0.187537119
6.14,16.58682481,0.060288814,0.064156749,0.051333697,0.0546271,0.114110523
21,2.155224702,0.463988743,0.86563246,0.033059188,0.061676295,0.053105768
55.34,6.639028741,0.150624442,0.177335503,0.09744713,0.114727965,0.10879845
16,1.172249381,0.853060805,5.805536105,0.002205247,0.015007888,0.046652242
-2.21,13.23791094,0.07554062,0.081713293,-0.022148714,-0.023958558,-0.528757621
-3.67,2.709170277,0.369116703,0.585079213,-0.041013562,-0.065009745,-0.39993225
0.02,2.195855191,0.455403436,0.836221649,0.000110166,0.000202289,0.000208021
0.071345,2.478578597,0.403457046,0.676325223,5.50394E-05,9.22639E-05,3.52124E-05
-29.33,1.344519825,0.743759951,2.902590581,-0.00186952,-0.007295972,-0.006647433
2.17,1.186761542,0.84262926,5.354421418,-0.000873403,-0.005549972,-0.007165633
32.69,2.393173382,0.417855224,0.71778575,0.05608319,0.096338904,0.09814293
0.91,1.227367671,0.814751784,4.398162659,0.001212187,0.006543583,0.001892327
-29.67,1.280324524,0.781051977,3.567294032,-0.013695056,-0.062549348,-0.018571893
3.61,1.363726231,0.733285008,2.749320545,0.009537855,0.035760477,0.018167898
12,3.94405293,0.253546293,0.339667806,0.004659311,0.006241929,0.006291139
177.4812,8.223396064,0.121604261,0.138439038,0.051161908,0.058244713,0.179095411
616,1.930401982,0.51802682,1.074804246,0.046485305,0.096447909,0.109896561
1.69,590.757554,0.001692742,0.001695612,0.007449003,0.007461634,1.085126622
1589.5077,2.052309198,0.487256014,0.950291038,0.06433203,0.125466182,0.085347524
219.66,8.376051426,0.119387997,0.135573892,0.047906876,0.054401798,0.07632787
-0.43,6.388315943,0.156535777,0.185586742,-0.0028941,-0.003431206,-0.050776916
-183.376444,1.301051052,0.768609348,3.321695754,-0.002279959,-0.009853289,-0.003894217
1022.092794,2.15555963,0.463916649,0.865381564,0.04534792,0.084591174,0.155899532
14.21,1.590782751,0.62862135,1.692669596,0.028601583,0.077014613,0.05528902
1.6,1.154609359,0.866093794,6.467913753,0.00095116,0.007103182,0.014710348
-4.326346819,3.010230737,0.332200448,0.497455333,-0.008906595,-0.013337229,-0.264196238
-6.48,1.362849463,0.733756755,2.755963842,-0.007115469,-0.026725444,-0.015269233
38.271225,1.488445378,0.67184192,2.047311828,0.007835741,0.023877946,0.031836521
-59,0.650448436,1.537400884,-2.860808253,-0.079799603,0.148491759,-0.490356773
2,4.873963053,0.205171847,0.258133592,0.023067552,0.029022063,0.025530479
0.00032822,1,1,1.218419609,0.046017445,0.056068557,0.11389363
1.67,4.083593301,0.244882369,0.324296982,0.050545012,0.066936607,0.116099781
9.13,2.188967675,0.456836349,0.841065759,0.008824519,0.016246521,0.047721905
17.16,4.798706366,0.208389496,0.263247512,0.063513455,0.080233214,0.150887006
14.77051126,2.667905505,0.374825869,0.599554349,0.024571801,0.039303931,0.040615188
6.17,3.191331482,0.313348834,0.456343556,0.022007861,0.032051006,0.087794144
53,2.303635482,0.434096457,0.767085596,0.094593673,0.167155116,0.078173778
1067.41,1.368749357,0.730593951,2.711869137,0.08398688,0.311748308,0.254438737
63.06,2.226318954,0.449171938,0.815448539,0.064876193,0.117779389,0.116796296
16.76,2.4117235,0.414641231,0.708354009,0.031175128,0.053258155,0.090369863
130.1937,16.65634717,0.060037173,0.063871859,0.044670204,0.047523373,52.08301306
3.57675,3.200651359,0.312436404,0.454410916,0.179847899,0.261572747,0.205149829
-9.28,2.162878942,0.462346727,0.85993474,-0.093599822,-0.174089561,-0.182681934
-29.6,1.075932184,0.929426607,13.16964614,-0.031206298,-0.442182194,-0.201967827
10.03,5.05313691,0.197896874,0.246722482,0.044630166,0.055641431,0.074354242
-332.26,1.632371169,0.612605772,1.581349765,-0.028419178,-0.073359838,-0.039695644
-2.39,2.549540184,0.392227589,0.645352738,-0.016476896,-0.027110306,-1.050656296
-47.99,3.442666499,0.290472516,0.409388674,-0.022920255,-0.032303548,-0.24197743
1E-84,2.663863484,0.375394612,0.601010846,-0.021614507,-0.034605061,-0.045784985
-5.63,0.255097602,3.920068205,-1.342457754,-0.00495739,0.001697697,-0.57741492
129,1.737628571,0.575496983,1.35569586,0.054576249,0.128565043,0.049275474
53.85,3.223191663,0.310251485,0.449803774,0.056530843,0.081958629,0.390635332
1,2.058599683,0.485767101,0.944644152,0.004184899,0.00813814,0.016177691
103.26,1.315866243,0.759955661,3.16589703,0.002100677,0.008751205,0.020809033
-80,1.966759939,0.508450462,1.034382952,-0.053056108,-0.107936442,-0.904962034
20.16,2.540994865,0.393546643,0.648931429,0.026869022,0.044305175,0.058154283
53.06,1.623889781,0.615805341,1.602847219,0.015637433,0.040701849,0.031041214
-371.982,0.345875054,2.89121747,-1.528759921,-0.080598191,0.042617093,-0.878591888
0.22,3.71556582,0.269138012,0.368247381,0.001368083,0.001871876,0.033599499
0.24,5.663445526,0.176570958,0.214433726,0.003760584,0.00456698,0.081049384
5.22,5.870907103,0.17033143,0.161973051,0.009135686,0.008687387,0.018636593
-9,3.637345657,0.274925755,0.379169108,-0.009184064,-0.012666377,-0.011668645
118,1.277421233,0.782827132,3.60462676,0.030647615,0.141120829,1.961985421
153.73,2.132316478,0.468973537,0.883145322,0.045638259,0.085943474,0.039311618
10.0149,2.104898448,0.475082302,0.905060552,0.010328505,0.019676428,0.117734265
69.93,3.574564275,0.279754377,0.38841524,0.138370161,0.19211524,0.142584421
-1.01,6.531074111,0.153114171,0.18079671,-0.015764873,-0.01861511,-0.038735948
63,2.147752351,0.465603029,0.871268091,0.094562151,0.176951136,0.166026082
-8.73,1.988122508,0.502987113,1.012020263,-0.010387614,-0.02090009,-0.077547808
58,1.982401268,0.504438741,1.017913996,0.015384671,0.031044943,0.027914072
3.05,40.26780251,0.024833737,0.025466156,0.034618591,0.035500193,0.007882508
-3.92,8.236052219,0.121417394,0.138196902,-0.027735388,-0.031568333,-0.271631696
27.1833,4.214141779,0.23729624,0.311125043,0.076815799,0.100715117,0.11482288
48.81,5.67639236,0.176168231,0.213840055,0.095781606,0.116263549,0.12169998
27,5.423434059,0.18438502,0.226068703,0.125623559,0.154023114,0.138739899
6.46,1.60409499,0.623404478,1.655368802,0.010016689,0.026598005,0.005566248
29.47242,1.358921475,0.735877693,2.786124733,0.046923943,0.177659901,0.052466477
-17.28,1.117223813,0.895075802,8.530689947,-0.016220079,-0.154588542,-0.009523132
17.62,2.435617415,0.410573514,0.696564412,0.022824183,0.038722697,0.030788898
2.3,1.638842958,0.610186593,1.565329927,0.023725445,0.060863595,0.038191836
-1.68,5.108514517,0.195751621,0.243396974,-0.011360776,-0.014125954,-3.432094021
-35.55,2.024753242,0.493887344,0.975844681,-0.128332164,-0.253564424,-1.47395236
0.95,4.784905403,0.208990548,0.264207396,0.001335667,0.001688561,0.081703515
44.3951,1.126718904,0.887532815,7.891482407,0.015908121,0.141446775,0.03698075
-20.92,5.265873427,0.18990202,0.234418582,-0.083505374,-0.103080585,-0.02820188
28.26582716,10.23661456,0.097688547,0.108264775,0.316731012,0.351021823,3.147557946
-3.42,2.626501264,0.380734635,0.614816614,-0.012405123,-0.020031999,-0.349281875
-7.71,0.361110617,2.76923456,-1.56521618,-0.317313763,0.179350873,#DIV/0!
-0.23,40.77920974,0.0245223,0.02513876,-0.000823582,-0.000844286,-0.821651078
2.08,12.03058837,0.083121454,0.090656995,0.01399764,0.015266624,0.056419509
-6.166317,1.348973415,0.741304453,2.865547792,-0.012492052,-0.048288624,-0.086372095
53,1.919686385,0.520918421,1.096956508,0.007016536,0.014775509,0.039699695
250,2.182390958,0.458213042,0.84574395,0.07395905,0.136509469,0.211901956
-28,2.965753183,0.337182476,0.508710864,-0.022138352,-0.033400372,-0.073842568
-1.19,1.572785802,0.635814488,1.745853331,-0.002413654,-0.00662754,-0.026047063
-0.89,1.523521297,0.656374152,1.910141966,-0.001259224,-0.00366452,-0.002107646
54,4.650021143,0.215052786,0.273971016,0.035757777,0.045554372,0.047223003
128,3.437479774,0.290910803,0.410259815,0.038962834,0.054947719,0.320398178
734,1.505831724,0.664084827,1.97694204,0.036786909,0.109512495,0.060841211
35,12.09559655,0.082674715,0.090125844,0.050160967,0.054681767,0.166875523
-8.1,1.562929446,0.639824147,1.776421552,-0.009219514,-0.025597258,-0.054074422
300.94,70.71857671,0.014140556,0.014343379,0.328801535,0.33351766,82.1616515
168,1.224460773,0.816686024,4.45512143,0.075955806,0.414348146,0.107397163
71.91,120555.378,8.29494E-06,8.29501E-06,0.147376806,0.147378029,1378.608025
-50.74,5.386190083,0.185659991,0.227988295,-0.072170671,-0.088624739,-0.349325208
110,6.353150754,0.157402215,0.186805873,0.063916405,0.075856365,0.22510791
90,1.722083047,0.580692088,1.384882257,0.028769772,0.068612518,0.034445574
-1,5.293368473,0.188915622,0.232917348,-0.006332059,-0.007806906,-0.015519614
-4.100929685,1.1236158,0.889983925,8.089580759,-0.033592321,-0.305340115,-0.224838182
8,1.592471465,0.627954737,1.687845,0.003465592,0.009314973,0.002779083
-2.854879328,3.477257477,0.287582961,0.40367221,-0.019774953,-0.027757553,-1.191553934
0.49,2.246303546,0.44517581,0.802372747,-0.002788836,-0.005026522,-0.003923807
-34,1.733912817,0.576730266,1.362559662,-0.033107116,-0.078217537,-0.044814053
-5,16.18293613,0.061793484,0.161581474,-0.003544769,-0.009269083,-0.004952292
-2.01,2.655202664,0.376619086,0.604155625,-0.047541187,-0.076263463,-0.324644128
72.67,2.500740204,0.399881602,0.66633785,0.263678601,0.439377632,0.331964423
72.78826989,2.297313857,0.43529098,0.770823494,0.095848235,0.169730306,0.16070322
12.12,1.126655268,0.887582944,7.895447327,0.006407045,0.056993532,0.147187991
2.42,1.138021588,0.878717953,7.245243398,0.000227982,0.00187977,0.004620626
572.84,2.924014537,0.341995564,0.519746593,0.216916086,0.329657482,0.246508034
34.3368,8.959106808,0.11161827,0.125642239,0.025295469,0.028473648,0.085540308
-62.15,2.104483571,0.475175959,0.90540052,-0.066684998,-0.127061629,-0.452530778
66,3.81564091,0.262079169,0.355158925,0.064283743,0.087114688,0.013666949
519.48717,2.974877704,0.336148272,0.506360469,0.27967094,0.421285249,0.349118757
1.83,1.302696442,0.767638544,3.303639762,0.002660243,0.011448726,0.068944368
0.860479962,1.905799163,0.524714261,1.103997488,0.006122236,0.012881168,0.033459117
12.8763,2.831356894,0.353187548,0.546043212,0.015829532,0.024473141,0.070923432
9.2,9.99208806,0.100079182,0.111208875,0.023707738,0.026344249,0.079931009
-37.21,1.337545962,0.74763786,2.962559514,-0.030913659,-0.122497213,-0.795918239
-1.3,0.353763762,2.826745155,-1.547421734,-0.033127492,0.018134709,-0.171458076
5.15052,1.305240477,0.766142345,3.276105483,0.013315663,0.056939177,0.073542421
363,1.180419028,0.847156795,5.542652631,0.021127219,0.138228058,0.321352362
263,3.712124861,0.26938749,0.368714588,0.127340059,0.174292196,0.149843417
0.71,2.010024582,0.497506353,0.990074912,0.004304592,0.00856646,0.045635165
120,2.103513648,0.475395061,0.906196314,0.064076814,0.122142986,0.249291245
39,1.548208502,0.645907834,1.824123478,0.087597558,0.24738632,0.272625673
2.59,2.434090585,0.410831054,0.697306021,0.027278609,0.046300147,0.052581082
1.66,0.011905753,83.99300764,-1.012049208,-2.793693925,0.033661799,#DIV/0!
14.02,1.516494954,0.659415316,1.936127337,0.02887671,0.084785698,0.011996992
39.85164057,3.055150439,0.327316124,0.486582384,0.022604073,0.033602816,0.042996972
68.09,1.33339676,0.749964324,2.999429272,0.031973653,0.127876363,0.019448643
62,7.436479079,0.13447224,0.155364445,0.150618453,0.174019205,0.296454539
-29.36,17.53872217,0.057016697,0.060464163,-0.034234399,-0.036304353,-1.794285062
-2.2,3.140626824,0.318407775,0.467152887,-0.029039494,-0.042605377,-0.140471053
1.45,4.559319293,0.219330987,0.280952597,0.019340736,0.024774566,0.09610952
-3,1.106854175,0.903461379,9.358548671,-0.032546344,-0.337132885,-0.01106855
168.19,3.771301934,0.265160419,0.36084123,0.020670823,0.028129708,0.175447249
196,1.415026365,0.706700613,2.409485477,0.143180591,0.488172147,0.246651846
324.75,2.095035345,0.477318916,0.913212532,0.07224122,0.138212807,0.134700291
11,1.428997596,0.69979124,2.331015396,0.005610202,0.018687669,0.011894572
95,1.555248849,0.642983919,1.800994279,0.072755711,0.20378833,0.091604486
12,7.000332937,0.142850349,0.166657419,0.020467089,0.023878081,0.615272136
127.2,5.963190447,0.167695466,0.201483302,0.089901076,0.108014642,0.255970226
12,2.794087827,0.357898556,0.557386313,0.014669141,0.022845519,0.02844554
75,2.77914476,0.359822926,0.562067811,0.033295527,0.052009871,0.033715336
0.99,2.442838558,0.40935984,0.693078234,0.003316543,0.005615166,0.025559268
-23,1.007008344,0.993040432,142.6870695,-0.042370948,-6.088157384,-0.034924042
-0.95,4.268160441,0.234292973,0.30598253,-0.005337238,-0.006970339,-0.174903292
0.79,2.517703804,0.397187309,0.658890092,0.000591694,0.000981555,0.001315808
57.75,1.714512294,0.583256243,1.433470459,0.007083431,0.017408968,0.012716981
18.84,4.812762375,0.20778088,0.262277032,0.065431429,0.08259259,0.161618356
-11.7,2.650535082,0.377282311,0.605864129,-0.02850314,-0.045772171,-0.178467439
143.13,2.185828945,0.457492341,0.843291947,0.078366162,0.144451715,0.043826859
-0.55,0.951306023,1.051186449,-20.53642082,-0.023663287,0.462295939,-0.069514645
26.45081646,2.994799427,0.333912178,0.501303533,0.034371548,0.051602127,0.367457298
-38.49,4.430613936,0.225702355,0.291493015,-0.239845257,-0.309758475,-1.667729406
-13.06,2.689495877,0.371816893,0.591892537,-0.044909652,-0.07149134,-0.19278644
-4.102439042,1.348124062,0.741771494,2.872539157,-0.012692601,-0.049152594,-0.016836663
137.4816,7.563881174,0.132207259,0.152348888,0.137111658,0.158000467,0.176927697
44,2.221125241,0.450222248,0.81891682,0.049937233,0.090831673,0.0505472
-13.99,0.973303352,1.027428908,-37.45788583,-0.029788518,1.086026391,-0.09613604
-0.26,18.653912,0.053608058,0.056644669,-0.002492644,-0.002633839,-2.69515105
-0.301434025,608.2764285,0.001643989,0.001646697,-0.002990324,-0.002995248,-3.014398452
14.89,8.855449525,0.112924815,0.127300162,0.062300133,0.07023095,0.243628355
248.92,4.695900068,0.212951721,0.270570086,0.19151613,0.243334666,0.051357028
121,136.8722742,0.007306082,0.007359853,0.443024775,0.446285373,0.981219683
3.39,7.556761152,0.132331826,0.152514325,0.061311981,0.070662937,0.103738111
27.1833,1.424882283,0.701812362,2.353593077,0.026785648,0.089828164,0.033343757
